ID_Anonimo;ID_Real;Tipo;Texto_Requisito;EXP-01;EXP-02;EXP-03;Consenso_experto;Nivel_acuerdo;Clasificacion_detector;Reglas_detector;Coincide
REQ-01;RF-20;RF;El sistema deberá permitir a los propietarios coordinar encuentros presenciales entre mascotas y sus dueños en espacios públicos, con fines de socialización previa a procesos de adopción o cruza.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-02;RNF-09;RNF;El sistema deberá integrarse con servicios externos de mensajería (WhatsApp Business API) para el envío de recordatorios de controles preventivos (RF-10), garantizando la entrega correcta del mensaje sin duplicarlo ni perderlo.;No ambiguo;No ambiguo;Ambiguo;No ambiguo;2/3;Ambiguo;Cuantificador vago / umbral insuficiente;No
REQ-03;RF-06;RF;El sistema deberá evaluar la compatibilidad entre dos mascotas registradas para procesos de cruza, considerando su raza, edad, estado de salud, antecedentes genéticos, parentesco, comportamiento e historial médico.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Terminología imprecisa / verificabilidad;Sí
REQ-04;RNF-08;RNF;El sistema deberá reflejar las actualizaciones realizadas sobre la información de mascotas, historiales médicos y publicaciones en un tiempo máximo de 5 segundos, garantizando que los usuarios consulten información actualizada.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-05;RD-07;RD;El sistema deberá contar con un mecanismo de detección y registro de incidentes de seguridad que permita notificar a la Autoridad de Protección de Datos Personales en un máximo de 5 días y al titular afectado en un máximo de 3 días, cuando el incidente comprometa sus derechos.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;Restricción de diseño incompleta;No
REQ-06;RNF-10;RNF;El sistema deberá organizarse en módulos independientes (gestión de mascotas, adopción/cruza, mensajería, componente de IA), de forma que una modificación en un módulo no requiera cambios en más del 10 % de los archivos de otro módulo, en línea con RD-05.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-07;RF-17;RF;El sistema deberá validar que la imagen cargada corresponda visualmente a una mascota y no contenga contenido explícito, violento u ofensivo, conforme a la política de contenido de la plataforma.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Terminología imprecisa / verificabilidad;Sí
REQ-08;RF-12;RF;El sistema deberá verificar la identidad de los usuarios mediante la carga y validación de un documento de identidad oficial y vigente, antes de habilitar su participación en procesos de adopción o cruza.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;Terminología imprecisa / verificabilidad;No
REQ-09;RNF-03;RNF;"El sistema deberá responder a las consultas de perfiles de mascotas, historial médico y resultados de búsqueda en un tiempo máximo de 2 segundos en el percentil 95, bajo una carga nominal de 100 usuarios concurrentes. Este criterio aplica exclusivamente al entorno de producción con backend desplegado; no es exigible ni medible sobre el MVP local descrito en la Sección 6.1, que persiste su información en localStorage sin un servidor sobre el cual ejecutar una prueba de carga concurrente.";No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-10;RNF-11;RNF;El sistema deberá funcionar correctamente en los navegadores Chrome, Firefox y Safari (dos últimas versiones estables) y adaptarse de forma responsiva a pantallas móviles y de escritorio.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-11;RL-02;RL;El titular debe ser informado sobre la finalidad, el responsable y las transferencias de sus datos, y tiene derecho a acceder gratuitamente a ellos dentro de 15 días.;Ambiguo;No ambiguo;Ambiguo;Ambiguo;2/3;Ambiguo;Terminología normativa imprecisa;Sí
REQ-12;RNF-15;RNF;Cuando un mensaje sea reportado por un usuario conforme al mecanismo de reporte manual de RF-07, el sistema deberá notificar al remitente la categoría del motivo señalado (lenguaje ofensivo, spam o acuerdo externo indebido) mediante una explicación por ejemplos.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-13;RNF-01;RNF;El sistema deberá impedir el acceso no autorizado a la información personal de los propietarios y al historial médico de las mascotas, garantizando que durante las pruebas de seguridad no se produzcan accesos exitosos por parte de usuarios sin los permisos correspondientes.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna regla activada;Sí
REQ-14;RF-15;RF;El sistema deberá permitir al propietario consultar el historial de solicitudes y procesos de adopción y cruza asociados a sus mascotas, incluyendo su estado y fecha de realización.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;Terminología imprecisa / verificabilidad;No
