ID_Anonimo;ID_Real;Tipo;Texto_Requisito;Experto 1;Experto 2;Experto 3;Consenso_experto;Nivel_acuerdo;Clasificacion_detector;Reglas_detector;Coincide
REQ-01;RNF-13;RNF;El sistema deberá presentar, junto con el resultado de compatibilidad para cruza, una explicación causal de los factores que influyeron en el resultado (raza, edad, estado de salud, antecedentes genéticos), en un máximo de 60 palabras y con un tiempo de generación no mayor a 2 segundos.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna;Sí
REQ-02;RF-24;RF;El sistema deberá permitir registrar, además de la fecha, la cepa o marca del biológico y el profesional que aplicó cada vacuna dentro del carnet de vacunación.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;"Conjunción múltiple; Ausencia de criterio de verificación";No
REQ-03;RNF-05;RNF;El sistema deberá garantizar que únicamente los usuarios autorizados puedan modificar el historial médico de una mascota, evitando que durante las pruebas se produzcan modificaciones no autorizadas.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;No
REQ-04;RF-25;RF;El sistema deberá permitir al propietario publicar un aviso público de mascota extraviada, incluyendo fotografías, identificador de microchip y datos de contacto para facilitar su localización.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;No
REQ-05;RF-23;RF;El sistema deberá emitir una alerta cuando se intente registrar una interacción o solicitud de cruza entre mascotas que presenten una disparidad de tamaño significativa o una enfermedad contagiosa activa registrada en el historial médico.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;No ambiguo;Ninguna;No
REQ-06;RF-14;RF;El sistema deberá permitir registrar, actualizar y consultar el carnet de vacunación de cada mascota, mostrando el historial de vacunas aplicadas, fechas, próximas dosis y su estado de vigencia.;No ambiguo;No ambiguo;No ambiguo;No ambiguo;3/3;No ambiguo;Ninguna;Sí
REQ-07;RF-17;RF;El sistema deberá utilizar un componente de inteligencia artificial para validar las imágenes cargadas por los usuarios, verificando que correspondan al tipo de contenido esperado y rechazando aquellas que sean inapropiadas o no cumplan con los criterios establecidos.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;Sí
REQ-08;RD-02;RD;El sistema deberá implementar un mecanismo de control de acceso basado en roles para diferenciar los permisos de propietarios, veterinarias y administradores.;Ambiguo;No ambiguo;Ambiguo;Ambiguo;2/3;Ambiguo;Ausencia de criterio de verificación;Sí
REQ-09;RNF-06;RNF;El componente de inteligencia artificial deberá generar recomendaciones de compatibilidad para procesos de cruza con una coincidencia mínima del 85 % respecto a las evaluaciones realizadas por médicos veterinarios durante las pruebas de validación.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;No ambiguo;Ninguna;No
REQ-10;RF-05;RF;El sistema deberá permitir que un usuario interesado envíe solicitudes de adopción, incluyendo su fotografía de perfil, y que el propietario pueda aceptarlas o rechazarlas después de revisar la información del solicitante.;Ambiguo;Ambiguo;Ambiguo;Ambiguo;3/3;Ambiguo;Ausencia de criterio de verificación;Sí
