Fragmento,Codigo,Categoria,Requisito derivado,ID de evidencia,Analista
"Controles veterinarios periodicos, compartir informacion de vacunas, no considera que exista informacion que no deba compartir",Apertura informativa total sobre salud de la mascota,Privacidad (contraste),Refuerza linea base de RF-11 (config. por defecto),EV-01,Morales Sanchez Gary Alejandro
Registro de si tuvo o no alguna enfermedad [antes de adoptar],Verificacion de antecedentes de enfermedad previa antes de adoptar,Adopcion responsable,Refuerza RF-03,EV-01,Morales Sanchez Gary Alejandro
"Recordatorio de vacunas y desparasitantes, dificultades como olvidar las fechas y costos",Barrera de olvido y costo en seguimiento preventivo,Seguimiento preventivo,Refuerza RF-10,EV-01,Morales Sanchez Gary Alejandro
"El temperamento, la edad, el tamano [definen compatibilidad]",Criterios de compatibilidad: temperamento/edad/tamano,Compatibilidad y cruza,Refuerza RF-06,EV-01,Morales Sanchez Gary Alejandro
Falta de informacion confiable de donde viene la mascota,Desconfianza en el origen/procedencia de la mascota,Adopcion responsable,Refuerza RF-03/RF-05,EV-01,Morales Sanchez Gary Alejandro
"Vacunas al dia, comportamiento de la mascota [seguimiento]",Rutina de controles preventivos periodicos,Seguimiento preventivo,Refuerza RF-10,EV-01,Morales Sanchez Gary Alejandro
Socializacion previa con la otra mascota [decide compatibilidad],Evaluacion conductual mediante interaccion previa,Compatibilidad y cruza,Refuerza RF-06,EV-01,Morales Sanchez Gary Alejandro
"Observacion fisica, controles veterinarios periodicos y seguimiento de vacunas, alimentacion y desparasitacion",Multi-fuente de verificacion del estado de salud,Salud y bienestar,Refuerza RF-02,EV-02,Morales Sanchez Gary Alejandro
"Conocer su estado de salud, temperamento, vacunas y presencia de parasitos o enfermedades [antes de interactuar]",Filtro de riesgo sanitario para interaccion,Salud/Compatibilidad,Refuerza RF-04,EV-02,Morales Sanchez Gary Alejandro
"La informacion considerada privada o sensible incluye ubicacion, rutina de la mascota, y donde la hace atender",Sensibilidad de ubicacion e identificacion de contacto,Privacidad,RNF-09/RL-05 candidato,EV-02,Morales Sanchez Gary Alejandro
"Los problemas mas comunes en procesos de adopcion son la falta de seguimiento, abandono posterior, mala comunicacion",Falta de seguimiento post-adopcion (problema recurrente),Adopcion responsable,RF-22 candidato,EV-02,Morales Sanchez Gary Alejandro
"Los factores que influyen al elegir una mascota incluyen el tiempo disponible, capacidad economica, y responsabilidad",Filtro por capacidad y responsabilidad del adoptante,Adopcion responsable,Refuerza RF-05/RF-18,EV-02,Morales Sanchez Gary Alejandro
Conocer las enfermedades de la otra mascota para permitir el cruce,Checklist etico-sanitario previo a cruza,Compatibilidad y cruza,Refuerza RF-06/RF-08,EV-02,Morales Sanchez Gary Alejandro
"Salud, antecedentes geneticos, enfermedades transmisibles, edad adecuada y responsabilidad de los duenos",Checklist etico-sanitario previo a cruza,Compatibilidad y cruza,Refuerza RF-06/RF-08,EV-02,Morales Sanchez Gary Alejandro
"Examen fisico, color y estado del pelaje, coloracion de las mucosas, la condicion corporal",Indicadores fisicos de estado general,Salud y bienestar,Refuerza RF-02,EV-03,Morales Sanchez Gary Alejandro
