ID_Anonimo;ID_Real;Tipo;Texto_Requisito
REQ-02;RNF-09;RNF;El sistema deberá integrarse con servicios externos de mensajería (WhatsApp Business API) para el envío de recordatorios de controles preventivos (RF-10), garantizando la entrega correcta del mensaje sin duplicarlo ni perderlo.
REQ-03;RF-06;RF;El sistema deberá evaluar la compatibilidad entre dos mascotas registradas para procesos de cruza, considerando su raza, edad, estado de salud, antecedentes genéticos, parentesco, comportamiento e historial médico.
REQ-06;RNF-10;RNF;El sistema deberá organizarse en módulos independientes (gestión de mascotas, adopción/cruza, mensajería, componente de IA), de forma que una modificación en un módulo no requiera cambios en más del 10 % de los archivos de otro módulo, en línea con RD-05.
REQ-07;RF-17;RF;El sistema deberá validar que la imagen cargada corresponda visualmente a una mascota y no contenga contenido explícito, violento u ofensivo, conforme a la política de contenido de la plataforma.
REQ-08;RF-12;RF;El sistema deberá verificar la identidad de los usuarios mediante la carga y validación de un documento de identidad oficial y vigente, antes de habilitar su participación en procesos de adopción o cruza.
REQ-09;RNF-03;RNF;"El sistema deberá responder a las consultas de perfiles de mascotas, historial médico y resultados de búsqueda en un tiempo máximo de 2 segundos en el percentil 95, bajo una carga nominal de 100 usuarios concurrentes. Este criterio aplica exclusivamente al entorno de producción con backend desplegado; no es exigible ni medible sobre el MVP local descrito en la Sección 6.1, que persiste su información en localStorage sin un servidor sobre el cual ejecutar una prueba de carga concurrente."
REQ-15;RF-21;RF;El sistema deberá permitir registrar y consultar el número de microchip de identificación de una mascota como parte de su perfil.
REQ-16;RF-14;RF;El sistema deberá permitir registrar, actualizar y consultar el carnet de vacunación de cada mascota, mostrando el historial de vacunas aplicadas, fechas, próximas dosis y su estado de vigencia.
REQ-18;RD-04;RD;El sistema deberá diseñarse para proteger la información personal de los propietarios y la información clínica de las mascotas mediante mecanismos de autenticación y autorización, aplicando el principio de protección de datos desde el diseño y por defecto (Art. 39 LOPDP).
REQ-28;RL-03;RL;El titular tiene derecho a la rectificación y actualización de sus datos inexactos o incompletos, en un plazo de 15 días.
REQ-35;RD-01;RD;El sistema deberá incorporar componentes de inteligencia artificial para la evaluación de compatibilidad entre mascotas y la validación de imágenes cargadas por los usuarios.
REQ-38;RF-18;RF;El sistema deberá guiar la solicitud de adopción a través de etapas secuenciales (formulario, entrevista, visita al hogar, periodo de prueba y compromiso firmado), mostrando al solicitante y al propietario el estado de cumplimiento de cada etapa.
REQ-41;RF-25;RF;El sistema deberá permitir al propietario publicar un aviso público de mascota extraviada, incluyendo fotografías, identificador de microchip y datos de contacto para facilitar su localización.
REQ-44;RD-08;RD;El sistema deberá integrarse con un proveedor externo de mensajería (WhatsApp Business API) para el envío de recordatorios (RF-10), quedando su disponibilidad condicionada a las políticas y disponibilidad de dicho proveedor.
REQ-48;RD-02;RD;El sistema deberá implementar un mecanismo de control de acceso basado en roles para diferenciar los permisos de propietarios, veterinarias y administradores.
REQ-53;RNF-04;RNF;El sistema deberá permitir que al menos el 90 % de los usuarios completen las tareas principales (registrar una mascota, consultar su información y enviar solicitudes de adopción o cruza) sin necesidad de capacitación previa, y alcanzar una puntuación media ≥ 80/100 en la escala System Usability Scale (SUS).
REQ-58;RL-06;RL;El titular tiene derecho a no ser objeto de una decisión basada únicamente en valoraciones automatizadas sin recibir una explicación motivada sobre ella.
REQ-59;RL-07;RL;"Los datos sensibles y los datos de salud del propietario requieren consentimiento explícito y confidencialidad reforzada; el historial clínico de la mascota se protege como extensión indirecta de esos datos."
