ID_Anonimo,ID_Real,Tipo,Texto_Requisito,Clasificacion_Experto,Tipo_Mal_Olor,Justificacion,Confianza,Evaluador,Fecha
REQ-01,RNF-13,RNF,"El sistema deberá presentar, junto con el resultado de compatibilidad para cruza, una explicación causal de los factores que influyeron en el resultado (raza, edad, estado de salud, antecedentes genéticos), en un máximo de 60 palabras y con un tiempo de generación no mayor a 2 segundos.",No ambiguo,Ninguno,"Incluye una métrica, umbral, plataforma o condición objetiva que permite comprobar su cumplimiento.",5,Experto 1,28/07/2026
REQ-01,RNF-13,RNF,"El sistema deberá presentar, junto con el resultado de compatibilidad para cruza, una explicación causal de los factores que influyeron en el resultado (raza, edad, estado de salud, antecedentes genéticos), en un máximo de 60 palabras y con un tiempo de generación no mayor a 2 segundos.",No ambiguo,Ninguno,"Considero que incluye una métrica, umbral, plataforma o condición objetiva que permite comprobar su cumplimiento.",5,Experto 2,28/07/2026
REQ-01,RNF-13,RNF,"El sistema deberá presentar, junto con el resultado de compatibilidad para cruza, una explicación causal de los factores que influyeron en el resultado (raza, edad, estado de salud, antecedentes genéticos), en un máximo de 60 palabras y con un tiempo de generación no mayor a 2 segundos.",No ambiguo,Ninguno,"Se identifica que incluye una métrica, umbral, plataforma o condición objetiva que permite comprobar su cumplimiento.",5,Experto 3,28/07/2026
REQ-02,RF-24,RF,"El sistema deberá permitir registrar, además de la fecha, la cepa o marca del biológico y el profesional que aplicó cada vacuna dentro del carnet de vacunación.",No ambiguo,Ninguno,"La función, los datos o condiciones principales y el resultado esperado están suficientemente delimitados para diseñar una prueba funcional.",5,Experto 1,28/07/2026
REQ-02,RF-24,RF,"El sistema deberá permitir registrar, además de la fecha, la cepa o marca del biológico y el profesional que aplicó cada vacuna dentro del carnet de vacunación.",No ambiguo,Ninguno,"Considero que la función, los datos o condiciones principales y el resultado esperado están suficientemente delimitados para diseñar una prueba funcional.",5,Experto 2,28/07/2026
REQ-02,RF-24,RF,"El sistema deberá permitir registrar, además de la fecha, la cepa o marca del biológico y el profesional que aplicó cada vacuna dentro del carnet de vacunación.",No ambiguo,Ninguno,"Se identifica que la función, los datos o condiciones principales y el resultado esperado están suficientemente delimitados para diseñar una prueba funcional.",5,Experto 3,28/07/2026
REQ-03,RNF-05,RNF,"El sistema deberá garantizar que únicamente los usuarios autorizados puedan modificar el historial médico de una mascota, evitando que durante las pruebas se produzcan modificaciones no autorizadas.",No ambiguo,Ninguno,"Incluye una métrica, umbral, plataforma o condición objetiva que permite comprobar su cumplimiento.",5,Experto 1,28/07/2026
REQ-03,RNF-05,RNF,"El sistema deberá garantizar que únicamente los usuarios autorizados puedan modificar el historial médico de una mascota, evitando que durante las pruebas se produzcan modificaciones no autorizadas.",No ambiguo,Ninguno,"Considero que incluye una métrica, umbral, plataforma o condición objetiva que permite comprobar su cumplimiento.",5,Experto 2,28/07/2026
REQ-03,RNF-05,RNF,"El sistema deberá garantizar que únicamente los usuarios autorizados puedan modificar el historial médico de una mascota, evitando que durante las pruebas se produzcan modificaciones no autorizadas.",No ambiguo,Ninguno,"Se identifica que incluye una métrica, umbral, plataforma o condición objetiva que permite comprobar su cumplimiento.",5,Experto 3,28/07/2026
REQ-04,RF-25,RF,"El sistema deberá permitir al propietario publicar un aviso público de mascota extraviada, incluyendo fotografías, identificador de microchip y datos de contacto para facilitar su localización.",No ambiguo,Ninguno,"La función, los datos o condiciones principales y el resultado esperado están suficientemente delimitados para diseñar una prueba funcional.",5,Experto 1,28/07/2026
REQ-04,RF-25,RF,"El sistema deberá permitir al propietario publicar un aviso público de mascota extraviada, incluyendo fotografías, identificador de microchip y datos de contacto para facilitar su localización.",No ambiguo,Ninguno,"Considero que la función, los datos o condiciones principales y el resultado esperado están suficientemente delimitados para diseñar una prueba funcional.",5,Experto 2,28/07/2026
REQ-04,RF-25,RF,"El sistema deberá permitir al propietario publicar un aviso público de mascota extraviada, incluyendo fotografías, identificador de microchip y datos de contacto para facilitar su localización.",No ambiguo,Ninguno,"Se identifica que la función, los datos o condiciones principales y el resultado esperado están suficientemente delimitados para diseñar una prueba funcional.",5,Experto 3,28/07/2026
REQ-05,RF-23,RF,El sistema deberá emitir una alerta cuando se intente registrar una interacción o solicitud de cruza entre mascotas que presenten una disparidad de tamaño significativa o una enfermedad contagiosa activa registrada en el historial médico.,Ambiguo,Cuantificador vago,"No se define el umbral de una «disparidad de tamaño significativa», por lo que la activación de la alerta puede variar.",4,Experto 1,28/07/2026
