ID_Anonimo;Tipo;Texto_Requisito;Clasificacion;Tipo_Mal_Olor;Justificacion;Confianza
REQ-02;RNF;El sistema deberá integrarse con servicios externos de mensajería (WhatsApp Business API) para el envío de recordatorios de controles preventivos (RF-10), garantizando la entrega correcta del mensaje sin duplicarlo ni perderlo.;Ambiguo;Dependencia externa;Menciona un servicio externo específico y además exige que no haya pérdidas ni duplicados, algo que depende en parte del proveedor.;Media
REQ-03;RF;El sistema deberá evaluar la compatibilidad entre dos mascotas registradas para procesos de cruza, considerando su raza, edad, estado de salud, antecedentes genéticos, parentesco, comportamiento e historial médico.;No ambiguo;Sin mal olor;Indica claramente qué debe evaluar el sistema y qué información debe considerar.;Alta
REQ-06;RNF;El sistema deberá organizarse en módulos independientes (gestión de mascotas, adopción/cruza, mensajería, componente de IA), de forma que una modificación en un módulo no requiera cambios en más del 10 % de los archivos de otro módulo, en línea con RD-05.;Ambiguo;Complejidad;Incluye una regla de porcentaje entre módulos que puede ser difícil de comprobar y mantener.;Media
REQ-07;RF;El sistema deberá validar que la imagen cargada corresponda visualmente a una mascota y no contenga contenido explícito, violento u ofensivo, conforme a la política de contenido de la plataforma.;Ambiguo;Ambigüedad;Expresiones como “visualmente” y “contenido ofensivo” pueden interpretarse de diferentes maneras.;Alta
REQ-08;RF;El sistema deberá verificar la identidad de los usuarios mediante la carga y validación de un documento de identidad oficial y vigente, antes de habilitar su participación en procesos de adopción o cruza.;No ambiguo;Sin mal olor;Explica qué debe verificarse y en qué momento se habilita la participación.;Alta
REQ-09;RNF;"El sistema deberá responder a las consultas de perfiles de mascotas, historial médico y resultados de búsqueda en un tiempo máximo de 2 segundos en el percentil 95, bajo una carga nominal de 100 usuarios concurrentes. Este criterio aplica exclusivamente al entorno de producción con backend desplegado; no es exigible ni medible sobre el MVP local descrito en la Sección 6.1, que persiste su información en localStorage sin un servidor sobre el cual ejecutar una prueba de carga concurrente.";Ambiguo;Complejidad;Tiene varias condiciones, cifras y excepciones, por lo que resulta largo y difícil de comprobar de una sola vez.;Alta
REQ-15;RF;El sistema deberá permitir registrar y consultar el número de microchip de identificación de una mascota como parte de su perfil.;No ambiguo;Sin mal olor;Es simple, concreto y fácil de comprobar: registrar y consultar el microchip.;Alta
REQ-16;RF;El sistema deberá permitir registrar, actualizar y consultar el carnet de vacunación de cada mascota, mostrando el historial de vacunas aplicadas, fechas, próximas dosis y su estado de vigencia.;No ambiguo;Sin mal olor;Indica qué información de vacunas se debe registrar y consultar.;Alta
REQ-18;RD;El sistema deberá diseñarse para proteger la información personal de los propietarios y la información clínica de las mascotas mediante mecanismos de autenticación y autorización, aplicando el principio de protección de datos desde el diseño y por defecto (Art. 39 LOPDP).;Ambiguo;Vaguedad;Términos como “proteger”, “confidencialidad” y “desde el diseño” no indican por sí solos cómo comprobar el cumplimiento.;Media
REQ-28;RL;El titular tiene derecho a la rectificación y actualización de sus datos inexactos o incompletos, en un plazo de 15 días.;No ambiguo;Sin mal olor;Define claramente el derecho de actualización y el plazo de 15 días.;Alta
REQ-35;RD;El sistema deberá incorporar componentes de inteligencia artificial para la evaluación de compatibilidad entre mascotas y la validación de imágenes cargadas por los usuarios.;Ambiguo;Ambigüedad;Indica que se usará inteligencia artificial, pero no explica qué nivel de precisión o resultado se espera.;Alta
REQ-38;RF;El sistema deberá guiar la solicitud de adopción a través de etapas secuenciales (formulario, entrevista, visita al hogar, periodo de prueba y compromiso firmado), mostrando al solicitante y al propietario el estado de cumplimiento de cada etapa.;No ambiguo;Sin mal olor;Presenta las etapas de la solicitud y qué información debe mostrarse.;Alta
REQ-41;RF;El sistema deberá permitir al propietario publicar un aviso público de mascota extraviada, incluyendo fotografías, identificador de microchip y datos de contacto para facilitar su localización.;No ambiguo;Sin mal olor;Especifica la información que debe incluir el aviso de mascota extraviada y su finalidad.;Alta
REQ-44;RD;El sistema deberá integrarse con un proveedor externo de mensajería (WhatsApp Business API) para el envío de recordatorios (RF-10), quedando su disponibilidad condicionada a las políticas y disponibilidad de dicho proveedor.;Ambiguo;Dependencia externa;El funcionamiento depende de las políticas y disponibilidad de un proveedor externo.;Alta
REQ-48;RD;El sistema deberá implementar un mecanismo de control de acceso basado en roles para diferenciar los permisos de propietarios, veterinarias y administradores.;No ambiguo;Sin mal olor;Define claramente que habrá diferentes permisos según el tipo de usuario.;Alta
REQ-53;RNF;El sistema deberá permitir que al menos el 90 % de los usuarios completen las tareas principales (registrar una mascota, consultar su información y enviar solicitudes de adopción o cruza) sin necesidad de capacitación previa, y alcanzar una puntuación media ≥ 80/100 en la escala System Usability Scale (SUS).;Ambiguo;Complejidad;Combina varias metas de usabilidad y una medición SUS dentro del mismo requisito.;Alta
REQ-58;RL;El titular tiene derecho a no ser objeto de una decisión basada únicamente en valoraciones automatizadas sin recibir una explicación motivada sobre ella.;Ambiguo;Ambigüedad;“Explicación motivada” puede variar según cómo se interprete y no define qué información debe recibir el usuario.;Media
REQ-59;RL;"Los datos sensibles y los datos de salud del propietario requieren consentimiento explícito y confidencialidad reforzada; el historial clínico de la mascota se protege como extensión indirecta de esos datos.";Ambiguo;Ambigüedad;Es amplio y mezcla datos del propietario con información clínica de la mascota, lo que puede generar dudas sobre el alcance.;Media
