ID-RF,Requisito,Tipo,MoSCoW,Importancia declarada,Valor de negocio (WSJF),Justificacion breve
RF-01,Registrar mascota,RF,Must,"Media (4,06)","9,20",Es el pilar del sistema; sin este RF no puede existir ningún perfil de mascota ni proceso posterior.
RF-02,Gestionar historial médico,RF,Must,"Alta (4,58)","3,63",Crítico para la salud animal y para RL-03 (rectificación de datos médicos).
RF-03,Consultar perfil completo,RF,Must,"Media (4,06)","8,67",Fundamental para que adoptantes e interesados en cruza tomen decisiones informadas; sustenta RL-02.
RF-04,Buscar y filtrar mascotas,RF,Should,"Media (4,16)","1,80","Mejora la usabilidad, pero el sistema puede operar inicialmente con listas generales."
RF-05,Gestionar solicitudes de adopción,RF,Must,---,"3,63",Núcleo del modelo operativo de la plataforma.
RF-06,Evaluar compatibilidad para cruza,RF,Must,"Media (4,45)","1,65",Requisito diferenciador que usa IA; motivó RD-01 y exige la explicabilidad de RL-06.
RF-07,Sistema de mensajería,RF,Could,"Baja (3,84)",---,"Deseable para coordinar procesos, pero el contacto inicial puede derivarse a canales externos si hay limitaciones de tiempo."
RF-08,Gestionar solicitudes de cruza,RF,Must,---,"2,88",Operación central del modelo de negocio junto a RF-05.
RF-09,Validar información médica,RF,Must,"Alta (4,61)","4,20",Imprescindible para la confiabilidad clínica del sistema.
RF-10,Recordatorios de controles preventivos,RF,Should,---,"2,80","Aporta valor de bienestar animal, pero no bloquea el flujo principal de adopciones."
RF-11,Administrar privacidad,RF,Must,---,"5,75",Mandatorio por RL-02 y RL-05; es el RF más citado en las entrevistas (9 EV).
RF-12,Verificar identidad de usuarios,RF,Must,"Media (4,34)","5,80",Indispensable para evitar fraude; sustenta el consentimiento de RL-01.
RF-13,Registrar publicaciones,RF,Must,---,"7,00",Necesario para que un propietario active la disponibilidad de su mascota.
RF-14,Gestionar carnet de vacunación,RF,Must,"Alta (4,71)","4,20",Crítico para la trazabilidad sanitaria; sustenta RL-03.
RF-15,Consultar historial de procesos,RF,Could,---,---,"Aporta trazabilidad al usuario, pero no es indispensable para completar una adopción o cruza."
RF-16,Antecedentes genéticos y parentesco,RF,Must,---,"2,00",Necesario para que RF-06 pueda evaluar compatibilidad de forma responsable.
RF-17,Validar imágenes con IA,RF,Should,---,"1,23","Refuerza la seguridad del contenido, pero el sistema puede operar con moderación manual inicial."
RF-18,Flujo de adopción por etapas,RF,Must,---,"1,23","Formaliza el proceso de adopción responsable identificado en la segunda ronda de campo (EV-11, EV-16)."
RF-19,Validar certificados veterinarios antes de cruza,RF,Should,---,"2,60","Refuerza la confiabilidad de RF-06, pero no bloquea su funcionamiento básico."
RF-20,Encuentros de socialización supervisados,RF,Could,---,---,"Valor deseable de bienestar animal, mencionado por un solo participante (EV-13)."
RF-21,Registrar identificador de microchip,RF,Should,---,"3,00",Aporta trazabilidad complementaria al carnet de vacunación.
RF-22,Seguimiento post-adopción,RF,Must,---,"1,25","Cierra el ciclo de responsabilidad de RF-18, exigido por participantes de la segunda ronda."
RF-23,Alertas de riesgo sanitario o físico,RF,Must,---,"2,63","Mitiga un riesgo real de seguridad y salud animal detectado en varias entrevistas (EV-09, EV-12, EV-15, EV-18)."
RF-24,"Trazabilidad de cepa, lote y aplicador",RF,Should,"Alta (4,71)","2,67","Complementa RF-14 con datos adicionales de trazabilidad, no bloqueante."
RF-25,Aviso de mascota extraviada,RF,Could,---,---,"Funcionalidad de valor social, pero fuera del núcleo de adopción/cruza del sistema."
RF-26,Segunda opinión veterinaria,RF,Should,---,"1,60",Refuerza la confiabilidad clínica mediante revisión entre pares; identificado por la veterinaria entrevistada (EV-24) como la mejora que más valor le aportaría.
