"Marca temporal","1. Tipo de usuario ","  2. ¿Actualmente posee una mascota?  ","3. ¿Qué tan importante considera registrar el historial de vacunación de una mascota?","4. ¿Qué tan importante considera registrar las desparasitaciones realizadas?","5. ¿Qué tan importante considera registrar enfermedades o condiciones médicas previas?","6. ¿Qué tan importante considera mostrar fotografías actualizadas de la mascota?","7. ¿Qué tan importante considera conocer la edad de la mascota?","8. ¿Qué tan importante considera conocer la raza de la mascota?","9. ¿Qué tan importante considera verificar la identidad de los usuarios?","10. ¿Qué tan importante considera que la información médica sea validada por una veterinaria?","11. ¿Qué tan importante considera disponer de un sistema de mensajería entre usuarios?","12. ¿Qué tan importante considera disponer de filtros para buscar mascotas según edad, raza o ubicación?","13. ¿Qué tan importante considera evaluar la compatibilidad entre mascotas antes de una cruza (considerando aspectos como raza, edad, estado de salud y antecedentes genéticos)? ","14. ¿Qué tan importante considera proteger la privacidad de la información de los propietarios?","15. ¿Cuál considera que es el principal problema de los procesos actuales de adopción o cruza de mascotas?  ","16. ¿Qué funcionalidad considera indispensable para una plataforma como MundiPets?  ","17. ¿Qué información considera indispensable visualizar antes de adoptar una mascota?","18. ¿Qué información considera indispensable visualizar antes de realizar una cruza?"
"2026/06/14 3:27:41 a. m. GMT-5","Propietario de mascota","Sí","5","5","5","4","5","4","5","5","4","4","4","5","Muchas personas publican mascotas en adopción sin información médica verificable y es difícil saber si los datos son reales como la raza.","Un perfil completo de la mascota verificado por una veterinaria","El estado de salud, vacunas, raza, edad y comportamiento","El estado de salud, vacunas, edad, raza y antecedentes genéticos "
"2026/06/14 3:30:01 a. m. GMT-5","Interesado en adopción","No","5","4","5","5","5","4","5","5","4","5","3","5","No siempre es posible conocer si la mascota tiene enfermedades o si la información proporcionada es verdadera","Poder consultar información confiable de la mascota antes de iniciar una adopción.","Edad, vacunas, enfermedades previas, comportamiento y fotos recientes","Estado de salud, raza y antecedentes médicos de ambas mascotas"
"2026/06/14 3:32:06 a. m. GMT-5","Interesado en cruza","Sí","5","5","5","4","4","5","5","5","4","4","5","5","Es difícil encontrar información confiable sobre la salud y antecedentes genéticos de las mascotas disponibles para cruza","Un sistema que permita evaluar la compatibilidad entre mascotas antes de realizar una cruza","Estado de salud, vacunas y comportamiento de la mascota","Raza, edad, antecedentes genéticos, historial médico y grado de parentesco"
"2026/07/27 4:06:31 p. m. GMT-5","Propietario de mascota","Sí","4","5","5","2","3","3","3","5","4","3","5","3","Razas no adecuadas entre si para el cruce ","Conocer sobre las razas de mascotas ","Historial médico ","Una aprobación por parte de un veterinario, es decir si este cree posible una cruza entre razas sin que haya ningún problema "
"2026/07/27 4:38:26 p. m. GMT-5","Propietario de mascota","Sí","5","5","5","5","5","2","4","5","5","4","4","5","Falta de seguimiento formal para asegurar que la adopción sean responsables y seguros para los animales.","Un perfil de salud detallado de las mascotas.","Es indispensable visualizar el historial de salud completo y una descripción del temperamento de la mascota.","Es indispensable observar la información de salud y el temperamento de ambos."
"2026/07/27 9:18:33 p. m. GMT-5","Propietario de mascota","Sí","5","5","5","4","4","4","5","5","3","3","4","4","","","",""
"2026/07/27 9:21:09 p. m. GMT-5","Propietario de mascota","Sí","5","4","4","5","5","3","2","5","5","4","4","1","Que no saben elegir bien lo que quieren , o muchas veces les dan cariño al principio y luego ya no. ","Muy funcional, porfa que tengan algún asesor para consultas online ","La edad, y como es la mascota si es agresivo etc ","El historial de lás mascotas "
"2026/07/27 9:28:40 p. m. GMT-5","Propietario de mascota","Sí","4","4","4","4","4","5","4","4","3","4","4","4","La falta de control y seguimiento después de la adopción para asegurarse de que las mascotas reciban el buen cuidado ","No se que es eso ","Su estado de salud ","el historial genético y las vacunas y si ambos animales que están en condiciones adecuadas para la cruza digo yo;)"
"2026/07/27 9:49:34 p. m. GMT-5","Propietario de mascota","Sí","5","5","5","5","5","5","5","5","4","5","5","5","El acesso a la información y tbm conscientizar a la población de su responsabilidad ","Contactos de  veterinarios ","La condición del animalito. Si ya es esterelizado y vacunado y tbm su edad","La compatibilidad y la edad "
"2026/07/27 9:56:27 p. m. GMT-5","Propietario de mascota","Sí","5","2","3","4","3","1","3","4","3","3","3","3","Que piden muchos requisitos y papeleo. ","Que sea fácil y rápido. Que pueda ver fotos, contactar al dueño y coordinar la entrega sin registro largo.","Solo el precio, la raza, la edad y fotos. Con eso basta.","Que el otro animal sea de la misma raza"
