ID_Anonimo,Clasificacion_Detector,Reglas_Activadas,Texto_Requisito
REQ-01,No ambiguo,Ninguna regla activada,"El sistema deberá permitir a los propietarios coordinar encuentros presenciales entre mascotas y sus dueños en espacios públicos, con fines de socialización previa a procesos de adopción o cruza."
REQ-02,Ambiguo,Cuantificador vago / umbral insuficiente,"El sistema deberá integrarse con servicios externos de mensajería (WhatsApp Business API) para el envío de recordatorios de controles preventivos (RF-10), garantizando la entrega correcta del mensaje sin duplicarlo ni perderlo."
REQ-03,Ambiguo,Terminología imprecisa / verificabilidad,"El sistema deberá evaluar la compatibilidad entre dos mascotas registradas para procesos de cruza, considerando su raza, edad, estado de salud, antecedentes genéticos, parentesco, comportamiento e historial médico."
REQ-04,No ambiguo,Ninguna regla activada,"El sistema deberá reflejar las actualizaciones realizadas sobre la información de mascotas, historiales médicos y publicaciones en un tiempo máximo de 5 segundos, garantizando que los usuarios consulten información actualizada."
REQ-05,Ambiguo,Restricción de diseño incompleta,"El sistema deberá contar con un mecanismo de detección y registro de incidentes de seguridad que permita notificar a la Autoridad de Protección de Datos Personales en un máximo de 5 días y al titular afectado en un máximo de 3 días, cuando el incidente comprometa sus derechos."
REQ-06,No ambiguo,Ninguna regla activada,"El sistema deberá organizarse en módulos independientes (gestión de mascotas, adopción/cruza, mensajería, componente de IA), de forma que una modificación en un módulo no requiera cambios en más del 10 % de los archivos de otro módulo, en línea con RD-05."
REQ-07,Ambiguo,Terminología imprecisa / verificabilidad,"El sistema deberá validar que la imagen cargada corresponda visualmente a una mascota y no contenga contenido explícito, violento u ofensivo, conforme a la política de contenido de la plataforma."
REQ-08,Ambiguo,Terminología imprecisa / verificabilidad,"El sistema deberá verificar la identidad de los usuarios mediante la carga y validación de un documento de identidad oficial y vigente, antes de habilitar su participación en procesos de adopción o cruza."
REQ-09,No ambiguo,Ninguna regla activada,"El sistema deberá responder a las consultas de perfiles de mascotas, historial médico y resultados de búsqueda en un tiempo máximo de 2 segundos en el percentil 95, bajo una carga nominal de 100 usuarios concurrentes. Este criterio aplica exclusivamente al entorno de producción con backend desplegado; no es exigible ni medible sobre el MVP local descrito en la Sección 6.1, que persiste su información en localStorage sin un servidor sobre el cual ejecutar una prueba de carga concurrente."
REQ-10,No ambiguo,Ninguna regla activada,"El sistema deberá funcionar correctamente en los navegadores Chrome, Firefox y Safari (dos últimas versiones estables) y adaptarse de forma responsiva a pantallas móviles y de escritorio."
REQ-11,Ambiguo,Terminología normativa imprecisa,"El titular debe ser informado sobre la finalidad, el responsable y las transferencias de sus datos, y tiene derecho a acceder gratuitamente a ellos dentro de 15 días."
REQ-12,No ambiguo,Ninguna regla activada,"Cuando un mensaje sea reportado por un usuario conforme al mecanismo de reporte manual de RF-07, el sistema deberá notificar al remitente la categoría del motivo señalado (lenguaje ofensivo, spam o acuerdo externo indebido) mediante una explicación por ejemplos."
REQ-13,No ambiguo,Ninguna regla activada,"El sistema deberá impedir el acceso no autorizado a la información personal de los propietarios y al historial médico de las mascotas, garantizando que durante las pruebas de seguridad no se produzcan accesos exitosos por parte de usuarios sin los permisos correspondientes."
REQ-14,Ambiguo,Terminología imprecisa / verificabilidad,"El sistema deberá permitir al propietario consultar el historial de solicitudes y procesos de adopción y cruza asociados a sus mascotas, incluyendo su estado y fecha de realización."
