ID,Fuente,Requisito,Caso de Uso,Clase,Proceso,Estado,Criterio,Caso de Prueba,Historia,Estado de la traza,Ley,Articulo,ID-EV,Objetivo,Stakeholder,ID-Mockup,ID-Componente
TR-01,"PROP-02, VET-01, VET-03, OBS-01; también RF-12, RF-13",RF-01,CU-01,Pet,P1,Drafted,CA-01,CP-01,HU-01,Completa,---,---,"PROP-02, VET-01, VET-03, OBS-01",Registrar mascota,Propietario de mascota,MU-02,Pet
TR-02,"PROP-01, VET-02; también RF-14, RF-24",RF-02,CU-02,MedicalHistory,P1,---,CA-02,CP-02,HU-02,Completa,---,---,"PROP-01, VET-02",Gestionar historial médico de la mascota,Propietario de mascota / Veterinaria,"MU-03, MU-06",MedicalHistory
TR-03,"VET-02, PROP-03, OBS-01; también RF-04, RF-11",RF-03,CU-10,Pet,P2,---,CA-03,CP-03,HU-03,Completa,---,---,"VET-02, PROP-03, OBS-01",Consultar perfil completo de una mascota,Propietario de mascota / Adoptante / Interesado en cruza,MU-06,Pet
TR-04,"Encuesta, OBS-01; también RF-03",RF-04,CU-11,Post,P2,---,CA-16,CP-04,HU-16,Completa,---,---,"Encuesta, OBS-01",Buscar y filtrar mascotas,Adoptante / Interesado en cruza,MU-04,Post
TR-05,"PROP-01, PROP-02, VET-01, OBS-01; también RF-12, RF-13, RF-18",RF-05,CU-04,AdoptionRequest,P3,Created,CA-04,CP-05,HU-04,Completa,---,---,"PROP-01, PROP-02, VET-01, OBS-01",Gestionar solicitudes de adopción,Adoptante / Propietario de mascota,MU-05,AdoptionRequest
TR-06,"VET-02, VET-03, PROP-03, OBS-01; también RF-16, RF-19, RF-23",RF-06,CU-13,CompatibilityEvaluation,P8,---,CA-05,CP-06,HU-05,Completa,---,---,"VET-02, VET-03, PROP-03, OBS-01",Evaluar compatibilidad entre mascotas para cruza,Propietario de mascota / Interesado en cruza,MU-07,CompatibilityEvaluation
TR-07,"PROP-02, Encuesta, OBS-01; también RF-05, RF-08, RNF-15",RF-07,CU-08,Message,P5,---,CA-17,CP-07,HU-17,Completa,---,---,"PROP-02, Encuesta, OBS-01",Sistema de mensajería entre usuarios,Propietario de mascota / Adoptante / Interesado en cruza,MU-05,Message
TR-08,"PROP-01, VET-01, VET-03; también RF-13, RF-19, RF-27",RF-08,CU-05,BreedingRequest,P3,Created,CA-06,CP-08,HU-06,Completa,---,---,"PROP-01, VET-01, VET-03",Gestionar solicitudes de cruza,Propietario de mascota / Interesado en cruza,MU-05,BreedingRequest
TR-09,"VET-01, VET-03, Encuesta; también RF-02, RF-26",RF-09,CU-09,"MedicalHistory, Veterinarian",P4,Verified,CA-07,CP-09,HU-07,Completa,---,---,"VET-01, VET-03, Encuesta",Validar la información médica de una mascota,Veterinaria,MU-03,"MedicalHistory, Veterinarian"
TR-10,"PROP-02, VET-02, PROP-03; también RF-14, RD-08",RF-10,CU-12,PetVaccine,P1,---,CA-18,CP-10,HU-18,Completa,---,---,"PROP-02, VET-02, PROP-03",Gestionar recordatorios de controles preventivos,Propietario de mascota,---,PetVaccine
TR-11,"PROP-02, VET-03, PROP-03, Encuesta, OBS-01; también RF-03, RD-02",RF-11,CU-12,PrivacySettings,P1,---,CA-08,CP-11,HU-08,Completa,---,---,"PROP-02, VET-03, PROP-03, Encuesta, OBS-01",Administrar la privacidad de la información,Propietario de mascota,MU-08,PrivacySettings
TR-12,"PROP-01, VET-01, Encuesta, OBS-01; también RF-01, RL-01",RF-12,(Transversal a Onboarding),User,P1,---,CA-09,CP-12,HU-09,Completa,---,---,"PROP-01, VET-01, Encuesta, OBS-01",Verificar la identidad de los usuarios,Propietario de mascota / Adoptante / Interesado en cruza,MU-01,User
TR-13,"PROP-01, PROP-02, Encuesta, OBS-01; también RF-01, RF-05, RF-08",RF-13,CU-04,Post,P3,Published,CA-10,CP-13,HU-10,Completa,---,---,"PROP-01, PROP-02, Encuesta, OBS-01",Registrar publicaciones de mascotas,Propietario de mascota,MU-06,Post
TR-14,"VET-01, VET-03, Encuesta; también RF-02, RF-24",RF-14,CU-03,"PetVaccine, Vaccine",P1,---,CA-11,CP-14,HU-11,Completa,---,---,"VET-01, VET-03, Encuesta",Gestionar carnet de vacunación,Propietario de mascota / Veterinaria,MU-03,"PetVaccine, Vaccine"
TR-15,"PROP-01, PROP-02, VET-02, PROP-03; también RF-05, RF-08, RF-27",RF-15,CU-07,"AdoptionRequest, BreedingRequest",P2,---,CA-19,CP-15,HU-19,Completa,---,---,"PROP-01, PROP-02, VET-02, PROP-03",Consultar el historial de procesos de adopción y cruza,Propietario de mascota,---,"AdoptionRequest, BreedingRequest"
TR-16,"PROP-01, VET-01, VET-03, Encuesta; también RF-06, RF-19",RF-16,CU-02,MedicalHistory,P1,---,CA-12,CP-16,HU-12,Completa,---,---,"PROP-01, VET-01, VET-03, Encuesta",Gestionar antecedentes genéticos y parentesco de la mascota,Propietario de mascota / Veterinaria,MU-06,MedicalHistory
TR-17,"PROP-01, VET-01, Encuesta, OBS-01; también RNF-07, RNF-14",RF-17,(Transversal a Publicaciones),"Pet, Post",P8,PhotosAndSpeciesChecked,CA-20,CP-17,HU-20,Completa,---,---,"PROP-01, VET-01, Encuesta, OBS-01",Validar imágenes,Propietario de mascota / Veterinaria,---,"Pet, Post"
TR-18,"PROP-06, VET-05; también RF-05, RF-22",RF-18,CU-04,AdoptionRequest,P3,Under review,CA-13,CP-18,HU-13,Completa,---,---,"PROP-06, VET-05",Gestionar el flujo de solicitud de adopción por etapas,Adoptante / Propietario de mascota,MU-05,AdoptionRequest
TR-19,"PROP-06; también RF-06, RF-16",RF-19,CU-09,VetDocument,P4,Verified,CA-21,CP-19,HU-21,Completa,---,---,PROP-06,Validar certificados veterinarios antes de habilitar la cruza,Propietario de mascota / Veterinaria,MU-03,VetDocument
TR-20,PROP-08; también RF-07,RF-20,CU-08,Interaction,P5,---,CA-27,CP-20,HU-27,Completa,---,---,PROP-08,Coordinar encuentros de socialización supervisados,Propietario de mascota,---,Interaction
TR-21,"VET-05; también RF-14, RF-25",RF-21,CU-01,Pet,P1,---,CA-22,CP-21,HU-22,Completa,---,---,VET-05,Registrar el identificador de microchip de la mascota,Propietario de mascota / Veterinaria,MU-06,Pet
TR-22,"PROP-05, VET-05; también RF-18",RF-22,CU-07,AdoptionRequest,P3,adopted or matched,CA-14,CP-22,HU-14,Completa,---,---,"PROP-05, VET-05",Dar seguimiento post-adopción,Adoptante / Propietario de mascota,MU-05,AdoptionRequest
TR-23,"PROP-04, PROP-07, VET-04, PROP-11; también RF-06, RF-16",RF-23,CU-06,"Interaction, BreedingRequest",P7,---,CA-15,CP-23,HU-15,Completa,---,---,"PROP-04, PROP-07, VET-04, PROP-11",Emitir alertas de riesgo sanitario o físico en interacciones y cruces,Propietario de mascota / Interesado en cruza,MU-07,"Interaction, BreedingRequest"
TR-24,"VET-04, VET-05; también RF-02, RF-14",RF-24,CU-03,PetVaccine,P1,---,CA-23,CP-24,HU-23,Completa,---,---,"VET-04, VET-05","Registrar trazabilidad de cepa, lote y aplicador de cada vacuna",Veterinaria / Propietario de mascota,MU-03,PetVaccine
TR-25,"PROP-07, VET-05; también RF-21",RF-25,CU-04,LostPetAlert,P3,---,CA-24,CP-25,HU-24,Completa,---,---,"PROP-07, VET-05",Publicar aviso de mascota extraviada,Propietario de mascota,MU-04,LostPetAlert
TR-26,VET-07; también RF-09,RF-26,CU-09,"MedicalHistory, VeterinaryEvaluation",P4,Verified,CA-25,CP-26,HU-25,Completa,---,---,VET-07,Habilitar validación médica por segunda opinión veterinaria,Veterinaria,MU-03,"MedicalHistory, VeterinaryEvaluation"
TR-27,"PROP-12; también RF-08, RF-15",RF-27,CU-05,BreedingRequest,P3,Approved,CA-26,CP-27,HU-26,Completa,---,---,PROP-12,Controlar y alertar sobre solicitudes repetitivas de cruza de una misma mascota,Propietario de mascota / Interesado en cruza,MU-05,BreedingRequest
TR-28,"VET-03, PROP-03, Encuesta, OBS-01; también RD-04, RL-05, RL-07",RNF-01,CU-12,---,P1,---,---,CP-28,---,Completa (transversal),---,---,"VET-03, PROP-03, Encuesta, OBS-01",Protección de la información,Propietario / Veterinaria,MU-08,COMP-06 Transversal (calidad)
TR-29,"PROP-01, PROP-02, VET-01, VET-02, VET-03, PROP-03, Encuesta; también RNF-03",RNF-02,(Transversal),---,Transversal,---,---,CP-29,---,Completa (transversal),---,---,"PROP-01, PROP-02, VET-01, VET-02, VET-03, PROP-03, Encuesta",Disponibilidad del sistema,Todos los usuarios,---,COMP-06 Transversal (calidad)
TR-30,"PROP-01, PROP-02, VET-01, VET-02, VET-03, PROP-03, Encuesta; también RNF-02, RNF-12",RNF-03,CU-11,---,Transversal,---,---,CP-30,---,Completa (transversal),---,---,"PROP-01, PROP-02, VET-01, VET-02, VET-03, PROP-03, Encuesta",Tiempo de respuesta,Todos los usuarios,---,COMP-06 Transversal (calidad)
