Resumen,Clave de incidencia,ID de la incidencia,Tipo de Incidencia,Estado,Clave del proyecto,Nombre del proyecto,Tipo de proyecto,Responsable del proyecto,ID del responsable del proyecto,Descripción del proyecto,Prioridad,Resolución,Persona asignada,ID de la persona asignada,Informador,ID del informador,Creador,ID del creador,Creada,Actualizada,Vista por Última Vez,Resuelta,Fecha de vencimiento,Votos,Descripción,Entorno,Interesados,ID de los interesados,Estimación original,Trabajo restante estimado,Tiempo Trabajado,Relación de trabajo,Σ Estimación original,Σ Trabajo restante estimado,Σ Tiempo empleado,Nivel de Seguridad,Campo personalizado (Clasificación),Campo personalizado (Color de la incidencia),Campo personalizado (Estado de verificación),Campo personalizado (Fecha de inicio),Campo personalizado (Fuente del requisito),Campo personalizado (Prioridad MoSCoW),Campo personalizado (Team),Campo personalizado (development),Categoría de estado,Categoría de estado cambiada,Principal,Clave principal,Parent summary
E1 — Gestión de mascotas y perfiles,KAN-1,10000,Epic,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:28 PM,09/ago/26 1:28 PM,22/ago/26 7:00 PM,,,0,"Registro, consulta, búsqueda y publicaciones de mascotas.",,,,,,,,,,,,0|hzzzzz:,dark_teal,,,,,,,Por hacer,09/ago/26 1:28 PM,,,
E2 — Adopción y solicitudes,KAN-2,10001,Epic,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:29 PM,09/ago/26 1:29 PM,22/ago/26 7:01 PM,,,0,"Flujo completo de adopción, seguimiento y alertas",,,,,,,,,,,,0|i00007:,dark_teal,,,,,,,Por hacer,09/ago/26 1:29 PM,,,
E3 — Historial médico y veterinaria,KAN-3,10002,Epic,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:30 PM,09/ago/26 1:30 PM,22/ago/26 4:52 PM,,,0,"Historial clínico, vacunación, validación profesional",,,,,,,,,,,,0|i0000f:,dark_teal,,,,,,,Por hacer,09/ago/26 1:30 PM,,,
E4 — Cruza y compatibilidad,KAN-4,10003,Epic,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:30 PM,09/ago/26 1:30 PM,22/ago/26 4:52 PM,,,0,"Evaluación de compatibilidad, certificados, antecedentes genéticos",,,,,,,,,,,,0|i0000n:,dark_teal,,,,,,,Por hacer,09/ago/26 1:30 PM,,,
"E5 — Cuenta, privacidad y comunicación",KAN-5,10004,Epic,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:30 PM,09/ago/26 1:30 PM,22/ago/26 6:52 PM,,,0,"Identidad, privacidad, mensajería, recordatorios, eliminación de cuenta",,,,,,,,,,,,0|i0000v:,dark_teal,,,,,,,Por hacer,09/ago/26 1:30 PM,,,
Buscar y filtrar mascotas,KAN-8,10007,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:48 PM,22/ago/26 5:52 PM,22/ago/26 7:01 PM,,,0,"RF asociado: RF-04
Historia de usuario (HU-16): Como adoptante o interesado en cruza, quiero buscar mascotas aplicando filtros de especie, raza, edad, ubicacion, estado de salud, tamano y temperamento, para encontrar rapidamente candidatos que se ajusten a lo que busco.
Prioridad MoSCoW: Should
Fuente del requisito (Origen): EV-07, EV-08",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00013:,,,,"EV-07, EV-08",Should,,,Por hacer,22/ago/26 4:48 PM,10000,KAN-1,E1 — Gestión de mascotas y perfiles
Registrar mascota,KAN-6,10005,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:46 PM,22/ago/26 5:52 PM,22/ago/26 7:01 PM,,,0,"RF asociado: RF-01
Historia de usuario (HU-01): Como propietario de mascota, quiero registrar el perfil de mi mascota con sus datos generales y fotografias, para que otros usuarios puedan identificarla y evaluarla en procesos de adopcion o cruza.
Prioridad MoSCoW: Must
Fuente del requisito (Origen): EV-02, EV-03, EV-05, EV-06, EV-07, EV-08",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00019:,,,," EV-02, EV-03, EV-05, EV-06, EV-07, EV-08",Must,,,Por hacer,22/ago/26 4:48 PM,10000,KAN-1,E1 — Gestión de mascotas y perfiles
Gestionar solicitudes de adopción,KAN-13,10012,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:59 PM,22/ago/26 5:53 PM,22/ago/26 7:02 PM,,,0,"RF asociado: RF-05
Historia de usuario (HU-04): Como adoptante, quiero enviar una solicitud de adopcion con mi informacion de perfil, para que el propietario evalue si puedo adoptar a su mascota.
Prioridad MoSCoW: Must
Fuente del requisito (Origen): EV-01, EV-02, EV-03, EV-05, EV-06, EV-08",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i0001f:i,,,,"EV-01, EV-02, EV-03, EV-05, EV-06, EV-08",Must,,,Por hacer,22/ago/26 4:48 PM,10001,KAN-2,E2 — Adopción y solicitudes
Gestionar flujo de solicitud de adopción por etapas,KAN-15,10014,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 2:00 PM,22/ago/26 5:53 PM,22/ago/26 7:02 PM,,,0,"RF asociado: RF-18
Historia de usuario (HU-13): Como propietario de mascota, quiero que la solicitud de adopcion avance por etapas verificables, para asegurarme de que el adoptante cumple los requisitos antes de entregar a mi mascota.
Prioridad MoSCoW: Must
Fuente del requisito (Origen): EV-11, EV-16",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00033:,,,,"EV-11, EV-16",Must,,,Por hacer,09/ago/26 2:00 PM,10001,KAN-2,E2 — Adopción y solicitudes
Consultar historial de procesos de adopción y cruza,KAN-14,10013,Historia,Backlog,KAN,MundiPets,software,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,Medium,,,,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,09/ago/26 1:59 PM,22/ago/26 5:53 PM,22/ago/26 7:11 PM,,,0,"RF asociado: RF-15
Historia de usuario (HU-19): Como propietario de mascota, quiero consultar el historial de solicitudes y procesos de adopcion y cruza de mis mascotas, con su estado y fecha, para llevar control de que procesos ya se completaron y cuales siguen activos.
Prioridad MoSCoW: Could
Fuente del requisito (Origen): EV-01, EV-02, EV-04, EV-06",,ANDY JOHEL MENDOZA PARRAGA,712020:884f7e0f-7d28-438f-9a31-7e1967687792,,,,,,,,,0|i00033:1,,,,"EV-01, EV-02, EV-04, EV-06",Could,,,Por hacer,22/ago/26 4:48 PM,10001,KAN-2,E2 — Adopción y solicitudes
