ID_Anonimo,Clasificacion_Detector,Reglas_Activadas,Texto_Requisito
REQ-01,No ambiguo,Ninguna,"El sistema deberá presentar, junto con el resultado de compatibilidad para cruza, una explicación causal de los factores que influyeron en el resultado (raza, edad, estado de salud, antecedentes genéticos), en un máximo de 60 palabras y con un tiempo de generación no mayor a 2 segundos."
REQ-02,Ambiguo,Conjunción múltiple; Ausencia de criterio de verificación,"El sistema deberá permitir registrar, además de la fecha, la cepa o marca del biológico y el profesional que aplicó cada vacuna dentro del carnet de vacunación."
REQ-03,Ambiguo,Ausencia de criterio de verificación,"El sistema deberá garantizar que únicamente los usuarios autorizados puedan modificar el historial médico de una mascota, evitando que durante las pruebas se produzcan modificaciones no autorizadas."
REQ-04,Ambiguo,Ausencia de criterio de verificación,"El sistema deberá permitir al propietario publicar un aviso público de mascota extraviada, incluyendo fotografías, identificador de microchip y datos de contacto para facilitar su localización."
REQ-05,No ambiguo,Ninguna,El sistema deberá emitir una alerta cuando se intente registrar una interacción o solicitud de cruza entre mascotas que presenten una disparidad de tamaño significativa o una enfermedad contagiosa activa registrada en el historial médico.
REQ-06,No ambiguo,Ninguna,"El sistema deberá permitir registrar, actualizar y consultar el carnet de vacunación de cada mascota, mostrando el historial de vacunas aplicadas, fechas, próximas dosis y su estado de vigencia."
REQ-07,Ambiguo,Ausencia de criterio de verificación,"El sistema deberá utilizar un componente de inteligencia artificial para validar las imágenes cargadas por los usuarios, verificando que correspondan al tipo de contenido esperado y rechazando aquellas que sean inapropiadas o no cumplan con los criterios establecidos."
REQ-08,Ambiguo,Ausencia de criterio de verificación,"El sistema deberá implementar un mecanismo de control de acceso basado en roles para diferenciar los permisos de propietarios, veterinarias y administradores."
REQ-09,No ambiguo,Ninguna,El componente de inteligencia artificial deberá generar recomendaciones de compatibilidad para procesos de cruza con una coincidencia mínima del 85% respecto a las evaluaciones realizadas por médicos veterinarios durante las pruebas de validación.
REQ-10,Ambiguo,Ausencia de criterio de verificación,"El sistema deberá permitir que un usuario interesado envíe solicitudes de adopción, incluyendo su fotografía de perfil, y que el propietario pueda aceptarlas o rechazarlas después de revisar la información del solicitante."
REQ-11,No ambiguo,Ninguna,"El sistema deberá responder a las consultas de perfiles de mascotas, historial médico y resultados de búsqueda en un tiempo máximo de 2 segundos en el percentil 95, bajo una carga nominal de 100 usuarios concurrentes."
REQ-12,Ambiguo,Ausencia de criterio de verificación,"El sistema deberá permitir a los propietarios coordinar encuentros presenciales entre mascotas y sus dueños en espacios públicos, con fines de socialización previa a procesos de adopción o cruza."
REQ-13,Ambiguo,Ausencia de criterio de verificación,"El sistema deberá permitir registrar y actualizar el historial médico de una mascota, incluyendo vacunas (con su cepa/marca y profesional aplicador), desparasitaciones, enfermedades, alergias, cirugías, tratamientos y controles veterinarios."
REQ-14,No ambiguo,Ninguna,"El sistema deberá permitir que el propietario solicite la eliminación de su cuenta y de los datos personales asociados, ejecutando la supresión o anonimización cuando exista obligación legal de conservación, dentro de un plazo definido."
