ID_Anonimo;Tipo;Texto_Requisito;Clasificacion;Tipo_Mal_Olor;Justificacion;Confianza
REQ-02;RNF;El sistema deberá integrarse con servicios externos de mensajería (WhatsApp Business API) para el envío de recordatorios de controles preventivos (RF-10), garantizando la entrega correcta del mensaje sin duplicarlo ni perderlo.;Ambiguo;Ambigüedad;La frase 'entrega correcta' no explica exactamente qué se considera una entrega correcta. Además, la idea se relaciona bastante con REQ-44.;Alta
REQ-03;RF;El sistema deberá evaluar la compatibilidad entre dos mascotas registradas para procesos de cruza, considerando su raza, edad, estado de salud, antecedentes genéticos, parentesco, comportamiento e historial médico.;Ambiguo;Complejidad;Incluye muchos aspectos diferentes para evaluar la compatibilidad. Sería más fácil de entender si se separaran los criterios o se explicara cómo se evaluarán.;Alta
REQ-06;RNF;El sistema deberá organizarse en módulos independientes (gestión de mascotas, adopción/cruza, mensajería, componente de IA), de forma que una modificación en un módulo no requiera cambios en más del 10 % de los archivos de otro módulo, en línea con RD-05.;No ambiguo;;Es claro y tiene una medida concreta del 10 %, por lo que se puede comprobar.;Alta
REQ-07;RF;El sistema deberá validar que la imagen cargada corresponda visualmente a una mascota y no contenga contenido explícito, violento u ofensivo, conforme a la política de contenido de la plataforma.;Ambiguo;Ambigüedad;Expresiones como 'corresponda visualmente' y 'contenido ofensivo' pueden interpretarse de diferentes maneras.;Alta
REQ-08;RF;El sistema deberá verificar la identidad de los usuarios mediante la carga y validación de un documento de identidad oficial y vigente, antes de habilitar su participación en procesos de adopción o cruza.;No ambiguo;;Indica qué debe hacer el sistema y cuándo debe realizar la verificación.;Alta
REQ-09;RNF;"El sistema deberá responder a las consultas de perfiles de mascotas, historial médico y resultados de búsqueda en un tiempo máximo de 2 segundos en el percentil 95, bajo una carga nominal de 100 usuarios concurrentes. Este criterio aplica exclusivamente al entorno de producción con backend desplegado; no es exigible ni medible sobre el MVP local descrito en la Sección 6.1, que persiste su información en localStorage sin un servidor sobre el cual ejecutar una prueba de carga concurrente.";Ambiguo;Complejidad;Es muy largo y mezcla el requisito principal con varias condiciones y excepciones sobre el MVP.;Alta
REQ-15;RF;El sistema deberá permitir registrar y consultar el número de microchip de identificación de una mascota como parte de su perfil.;No ambiguo;;Es sencillo, claro y fácil de comprobar: registrar y consultar el número de microchip.;Alta
REQ-16;RF;El sistema deberá permitir registrar, actualizar y consultar el carnet de vacunación de cada mascota, mostrando el historial de vacunas aplicadas, fechas, próximas dosis y su estado de vigencia.;No ambiguo;;Indica claramente qué información se debe registrar y qué debe mostrar el sistema.;Alta
REQ-18;RD;El sistema deberá diseñarse para proteger la información personal de los propietarios y la información clínica de las mascotas mediante mecanismos de autenticación y autorización, aplicando el principio de protección de datos desde el diseño y por defecto (Art. 39 LOPDP).;Ambiguo;Ambigüedad;La palabra 'proteger' es muy general y no indica claramente qué acciones debe realizar el sistema para cumplirlo.;Alta
REQ-28;RL;El titular tiene derecho a la rectificación y actualización de sus datos inexactos o incompletos, en un plazo de 15 días.;No ambiguo;;Indica claramente el derecho del usuario y establece un plazo concreto de 15 días.;Alta
REQ-35;RD;El sistema deberá incorporar componentes de inteligencia artificial para la evaluación de compatibilidad entre mascotas y la validación de imágenes cargadas por los usuarios.;Ambiguo;Ambigüedad;Indica que se debe usar inteligencia artificial, pero no explica qué resultado debe entregar ni cómo se comprobará que funciona.;Alta
REQ-38;RF;El sistema deberá guiar la solicitud de adopción a través de etapas secuenciales (formulario, entrevista, visita al hogar, periodo de prueba y compromiso firmado), mostrando al solicitante y al propietario el estado de cumplimiento de cada etapa.;Ambiguo;Complejidad;Incluye varias etapas y acciones en un solo requisito. Aunque se entiende, podría dividirse para facilitar su seguimiento.;Media
REQ-41;RF;El sistema deberá permitir al propietario publicar un aviso público de mascota extraviada, incluyendo fotografías, identificador de microchip y datos de contacto para facilitar su localización.;No ambiguo;;Es claro e indica qué información debe contener el aviso de mascota extraviada.;Alta
REQ-44;RD;El sistema deberá integrarse con un proveedor externo de mensajería (WhatsApp Business API) para el envío de recordatorios (RF-10), quedando su disponibilidad condicionada a las políticas y disponibilidad de dicho proveedor.;No ambiguo;;Está claro que el sistema depende de un servicio externo y también se menciona esa limitación.;Alta
REQ-48;RD;El sistema deberá implementar un mecanismo de control de acceso basado en roles para diferenciar los permisos de propietarios, veterinarias y administradores.;No ambiguo;;Indica claramente que los permisos deben ser diferentes según el tipo de usuario.;Alta
REQ-53;RNF;El sistema deberá permitir que al menos el 90 % de los usuarios completen las tareas principales (registrar una mascota, consultar su información y enviar solicitudes de adopción o cruza) sin necesidad de capacitación previa, y alcanzar una puntuación media ≥ 80/100 en la escala System Usability Scale (SUS).;Ambiguo;Complejidad;Combina dos objetivos distintos: completar tareas sin capacitación y obtener una puntuación determinada en SUS.;Alta
REQ-58;RL;El titular tiene derecho a no ser objeto de una decisión basada únicamente en valoraciones automatizadas sin recibir una explicación motivada sobre ella.;Ambiguo;Ambigüedad;La expresión 'explicación motivada' no indica qué información debe recibir el usuario ni cómo debe mostrarse.;Alta
REQ-59;RL;"Los datos sensibles y los datos de salud del propietario requieren consentimiento explícito y confidencialidad reforzada; el historial clínico de la mascota se protege como extensión indirecta de esos datos.";Ambiguo;Complejidad;Mezcla varias ideas sobre datos sensibles, consentimiento, confidencialidad y datos de las mascotas en un mismo requisito.;Alta
